Ion Z N Eth Emax E0 sigma0 ya P yw y0 y1
SiIII 14 12 3.349e1 1.311e2 1.659e-1 5.79e-4 1.474e2 1.336e1 8.626e-1 9.613e1 6.442e-1
SiIV 14 11 4.514e1 1.466e2 1.288e1 6.083 1.356e6 3.353 0. 0. 0.
SiV 14 10 1.668e2 1.887e3 7.761e-1 8.863e-1 1.541e2 9.98 1.303 2.009e2 4.537
SiVI 14 9 2.051e2 1.946e3 6.305e1 7.293e1 1.558e2 2.4 2.989e-3 1.115 8.051e-2
SiVII 14 8 2.465e2 2.001e3 3.277e-1 6.68e-2 4.132e1 1.606e1 3.28 1.149e-2 6.396e-1
SiVIII 14 7 3.032e2 2.058e3 7.655e-1 3.477e-1 3.733e2 8.986 1.476e-3 3.85e2 8.999e-2
SiIX 14 6 3.511e2 2.125e3 3.343e-1 1.465e01 1.404e3 8.503 1.646 1.036e3 2.936e-1
SiX 14 5 4.014e2 2.194e3 8.787e-1 1.95e-1 7.461e2 8.302 4.489e-1 4.528e2 1.015
SiXI 14 4 4.761e2 2.268e3 1.205e1 1.992e4 1.582 2.425e1 2.392e1 1.99e-2 1.007e-2
SiXII 14 3 5.235e2 2.336e3 3.56e1 2.539e1 3.307e1 4.728 0. 0. 0.
SiXIII 14 2 2.438e3 5.e4 2.752e2 4.754e1 2.848e1 2.135 0. 0. 0.
SiXIV 14 1 2.673e3 5.e4 8.447e1 2.793e2 3.288e1 2.963 0. 0. 0.
SI 16 16 1.036e1 1.7e2 1.808e1 4.564e4 1. 1.361e1 6.385e-1 9.935e-1 2.486e-1
SII 16 15 2.333e1 1.846e2 8.787 3.136e2 3.442 1.281e1 7.354e-1 2.782 1.788e-1
SIII 16 14 3.483e1 1.995e2 2.027 6.666 5.454e1 8.611 4.109 1.568e1 9.421
SIV 16 13 4.731e1 2.164e2 2.173 2.606 6.641e1 8.655 1.863 1.975e1 3.361
SV 16 12 7.268e1 2.35e2 1.713e-1 5.072e-4 1.986e2 1.307e1 7.88e-1 9.424e1 6.265e-1
SVI 16 11 8.805e1 2.557e2 1.413e1 9.139 1.656e3 3.626 0. 0. 0.
SVII 16 10 2.809e2 2.569e3 3.757e-1 5.703e-1 1.460e2 1.135e1 1.503 2.222e2 4.606
SVIII 16 9 3.282e2 2.641e3 1.462e1 3.161e1 1.611e1 8.642 1.153e-3 1.869e1 3.037e-1
SIX 16 8 3.791e1 2.705e3 1.526e-1 9.646e3 1.438e3 5.977 1.492 1.615e-3 4.049e-1
SX 16 7 4.471e2 2.782e3 1.04e1 5.364e1 3.641e1 7.09 2.31 1.775e1 1.663
SXI 16 6 5.048e2 2.859e3 6.485 1.275e1 6.583e1 7.692 1.678 3.426e1 1.37e-1
SXII 16 5 5.647e2 2.941e3 2.443 3.49e-1 5.411e2 7.769 7.033e-1 2.279e2 1.172
SXIII 16 4 6.517e2 3.029e3 1.474e1 2.294e4 1.529 2.568e1 2.738e1 2.203e-2 1.073e-2
SXIV 16 3 7.072e2 3.107e3 3.31e1 2.555e1 3.821e1 5.037 0. 0. 0.
SXV 16 2 3.224e3 5.e4 4.39e2 2.453e1 4.405e1 1.765 0. 0. 0.
SXVI 16 1 3.494e3 5.e4 1.104e2 2.139e2 3.288e1 2.963 0. 0. 0.
ArI 18 18 1.576e1 2.492e2 1.709e1 2.106e1 2.645e2 4.796 4.185e-1 1.688 8.943e-1
ArII 18 17 2.763e1 2.662e2 2.494e1 2.503e1 1.272e2 4.288 5.108e-1 9.299e-1 7.195e-1
ArIII 18 16 4.074e1 2.801e2 1.417e1 3.58e1 3.776e1 5.742 6.316e-1 2.384 1.794
ArIV 18 15 5.981e1 2.987e2 6.953 2.035e1 1.4e1 9.595 8.842e-1 7.501 1.806e-1
ArV 18 14 7.501e1 3.2e2 1.031e1 9.946 7.444e1 6.261 4.885e-1 6.406 3.659e-3
ArVI 18 13 9.101e1 3.426e2 5.44e-1 1.08 9.419e2 7.582 1.107e1 1.7e2 1.587e1
ArVII 18 12 1.243e2 3.667e2 2.966e-2 3.693 9.951e3 7.313 1.363e-2 4.383e-4 2.513
ArVIII 18 11 1.435e2 3.925e2 3.884 3.295e1 7.082e2 4.645 0. 0. 0.
ArIX 18 10 4.225e2 3.361e3 1.926e-1 8.279e-1 2.392e2 1.121e1 1.434 3.814e1 4.649
ArX 18 9 4.787e2 3.446e3 1.040e1 8.204 1.495e1 1.115e1 9.203e-4 3.804e1 6.39e-1
ArXI 18 8 5.39e2 3.523e3 1.257e-1 1.76e3 1.579e3 6.714 1.957 3.286e-3 3.226e-1
ArXII 18 7 6.183e2 3.613e3 5.31 7.018e-1 1.001e2 8.939 4.987e-1 1.099e2 2.202e-1
ArXIII 18 6 6.861e2 3.702e3 3.209e-1 2.459e-2 2.285e3 8.81 6.692e-1 2.068e3 2.113e1
ArXIV 18 5 7.558e2 3.798e3 1.557 4.997e-2 5.031e2 8.966 2.938e-1 4.552e2 6.459
ArXV 18 4 8.548e2 3.898e3 1.888e1 2.571e4 1.475 2.634e1 2.909e1 2.445e-2 1.054e-2
ArXVI 18 3 9.18e2 3.988e3 4.154e1 2.135e1 4.118e1 4.945 0. 0. 0.
ArXVII 18 2 4.121e3 5.e4 4.468e2 3.108e1 3.039e1 2.092 0. 0. 0.
ArXVIII 18 1 4.426e3 5.e4 1.399e2 1.69e2 3.288e1 2.963 0. 0. 0.
CaI 20 20 6.113 3.443e1 1.278e1 5.37e5 3.162e-1 1.242e1 4.477e-1 1.012e-3 1.851e-2
CaII 20 19 1.187e1 4.09e1 1.553e1 1.064e7 7.79e-1 2.13e1 6.453e-1 2.161e-3 6.706e-2
CaIII 20 18 5.091e1 3.731e2 2.436e1 3.815e1 2.931e2 3.944 3.126e-1 1.802 1.233
CaIV 20 17 6.727e1 3.944e2 4.255 7.736 1.355e1 1.236e1 1.369 1.467e1 3.298e-2
CaV 20 16 8.451e1 4.175e2 6.882e-1 1.523e-1 1.502e2 1.061e1 8.227 1.21e2 3.876
CaVI 20 15 1.088e2 4.423e2 9.515 7.642e1 8.973e1 5.141 2.471 4.829 5.824
CaVII 20 14 1.272e2 4.687 8.08e-1 4.76e-1 3.682e2 8.634 5.72e-1 1.487e2 1.283
CaVIII 20 13 1.472e2 4.967e2 1.366 6.641e-1 3.188e2 8.138 2.806e-1 1.039e2 3.329
CaIX 20 12 1.883e2 5.27e2 5.52e-2 2.076e2 1.79e4 5.893 1.843e-3 2.826e-4 1.657
CaX 20 11 2.113e2 5.569e2 1.605e1 1.437e1 6.989e2 3.857 0. 0. 0.
CaXI 20 10 5.919e2 4.265e3 2.288e-1 9.384e-1 2.549e2 1.103e1 1.39 2.478e1 3.1
CaXII 20 9 6.572e2 4.362e3 2.345e1 1.227e1 1.312e1 9.771 6.842e-4 2.417e1 5.469e-1
CaXIII 20 8 70267e2 4.453e3 1.008e1 1.849e3 1.792e4 2.868 2.41e2 6.138e-3 6.931e1
CaXIV 20 7 8.177e2 4.555e3 9.98 1.116 5.918e1 9.005 3.879 7.104e1 5.311
CaXV 20 6 8.946e2 4.659e3 1.309e2 5.513e1 3.808e2 2.023 9.084e-2 1.833e-2 9.359e-1
CaXVI 20 5 9.745e2 4.767e3 4.293 1.293 1.691e1 1.438e1 3.461e-5 9.363e-1 4.589e-2
CaXVII 20 4 1.087e3 4.88e3 2.618e1 2.028e4 1.456 2.56e1 2.803e1 2.402e-2 9.323e-3
CaXVIII 20 3 1.157e3 4.982e3 9.472e1 1.105e1 3.818e1 4.192 0. 0. 0.
CaXIX 20 2 5.129e3 5.e4 6.297e2 1.936e1 3.921e1 1.862 0. 0. 0.
CaXX 20 1 5.47e3 5.e4 1.729e2 1.369e2 3.288e1 2.963 0. 0. 0.
FeI 26 26 7.902 6.6e1 5.461e-2 3.062e-1 2.671e7 7.923 2.069e1 1.382e2 2.481e-1
FeII 26 25 1.619e1 7.617e1 1.761e-1 4.365e3 6.298e3 5.204 1.141e1 9.272e1 1.075e2
FeIII 26 24 3.065e1 8.705e1 1.698e-1 6.107 1.555e3 8.055 8.698 1.76e2 1.847e1
FeIV 26 23 5.48e1 1.067e2 2.544e1 3.653e2 8.913 6.538 5.602e-1 0. 0.
FeV 26 22 7.501e1 1.288e2 7.256e-1 1.523e-3 3.736e1 1.767e1 5.064e1 8.871e1 5.28e-2
FeVI 26 21 9.906e1 1.527e2 2.656 5.259e-1 1.45e1 1.632e1 1.558e1 3.361e1 3.743e-3
FeVII 26 20 1.25e2 1.783e2 5.059 2.42e4 4.85e4 2.374 2.516e-3 4.546e-1 2.683e1
FeVIII 26 19 1.511e2 2.055e2 7.098e-2 1.979e1 1.745e4 6.75 2.158e2 2.542e3 4.672e2
FeIX 26 18 2.336e2 9.211e2 6.741 2.687e1 1.807e2 6.29 2.387e-4 2.494e1 8.251
