T								F
323593.7								3.7185053E-22
316227.8								3.9885874E-22
309029.5								4.2767504E-22
301995.2								4.5755945E-22
295120.9								4.8759413E-22
288403.2								5.1676745E-22
281838.3								5.4408718E-22
275422.9								5.6869849E-22
269153.5								5.8997816E-22
263026.8								6.0758418E-22
257039.6								6.2145457E-22
251188.6								6.3176447E-22
245470.9								6.3885983E-22
239883.3								6.4318611E-22
234422.9								6.4522475E-22
229086.8								6.4544565E-22
223872.1								6.4427423E-22
218776.2								6.4207177E-22
213796.2								6.3912514E-22
208929.6								6.3564294E-22
204173.8								6.3175696E-22
199526.2								6.2752857E-22
194984.5								6.229607E-22
190546.1								6.1801555E-22
186208.7								6.1263678E-22
181970.1								6.0677293E-22
177827.9								6.0039827E-22
173780.1								5.9352683E-22
169824.4								5.8621781E-22
165958.7								5.7857301E-22
162181								5.7072866E-22
158489.3								5.6284504E-22
154881.7								5.5509689E-22
151356.1								5.476663E-22
147910.8								5.4073789E-22
144544								5.344961E-22
141253.8								5.2912323E-22
138038.4								5.2479685E-22
134896.3								5.216848E-22
131825.7								5.1993621E-22
128825								5.1966716E-22
125892.5								5.2094041E-22
123026.9								5.237403E-22
120226.4								5.2794634E-22
117489.8								5.3331233E-22
114815.4								5.3946027E-22
112201.8								5.4589811E-22
109647.8								5.520652E-22
107151.9								5.574E-22
104712.9								5.6141421E-22
102329.3								5.6375205E-22
100000								5.6421851E-22
97723.72								5.6273981E-22
95499.26								5.5943611E-22
93325.43								5.5444492E-22
91201.08								5.4792008E-22
89125.09								5.3999517E-22
87096.36								5.3076346E-22
85113.8								5.202751E-22
83176.38								5.0854921E-22
81283.05								4.9559615E-22
79432.82								4.8144423E-22
77624.71								4.6616371E-22
75857.76								4.4988192E-22
74131.02								4.3278529E-22
72443.6								4.1510874E-22
70794.58								3.9711552E-22
69183.1								3.7907332E-22
67608.3								3.6123206E-22
66069.34								3.4380732E-22
64565.42								3.2697113E-22
63095.73								3.1084944E-22
61659.5								2.9552555E-22
60255.96								2.8104348E-22
58884.37								2.6741876E-22
57543.99								2.5464526E-22
56234.13								2.4270206E-22
54954.09								2.3155909E-22
53703.18								2.2118065E-22
52480.75								2.1153012E-22
51286.14								2.0257005E-22
50118.72								1.9426291E-22
48977.88								1.8657756E-22
47863.01								1.7947649E-22
46773.51								1.7292654E-22
45708.82								1.6689465E-22
44668.36								1.6134708E-22
43651.58								1.5624935E-22
42657.95								1.5156573E-22
41686.94								1.4726057E-22
40738.03								1.4329947E-22
39810.72								1.3965077E-22
38904.51								1.3628706E-22
38018.94								1.3318566E-22
37153.52								1.30328E-22
36307.81								1.2769933E-22
35481.34								1.2528626E-22
34673.69								1.2307579E-22
33884.42								1.2105459E-22
